# File: A44.india_state_subregional_pop_share.csv
# Title: Subregional pop share
# Units: Share
# Source: Census of India
# Column types: ccnn
# ----------
region,gcam.consumer,pop.year.fillout,subregional.population.share
OD,comm,2055,1
PB,comm,2055,1
PC,comm,2055,1
RJ,comm,2055,1
SK,comm,2055,1
TN,comm,2055,1
TR,comm,2055,1
TS,comm,2055,1
UK,comm,2055,1
UP,comm,2055,1
WB,comm,2055,1
AN,comm,2060,1
AP,comm,2060,1
AR,comm,2060,1
AS,comm,2060,1
BR,comm,2060,1
CG,comm,2060,1
CH,comm,2060,1
DD,comm,2060,1
DL,comm,2060,1
DN,comm,2060,1
GA,comm,2060,1
GJ,comm,2060,1
HP,comm,2060,1
HR,comm,2060,1
JH,comm,2060,1
JK,comm,2060,1
KA,comm,2060,1
KL,comm,2060,1
LA,comm,2060,1
LD,comm,2060,1
MH,comm,2060,1
ML,comm,2060,1
MN,comm,2060,1
MP,comm,2060,1
MZ,comm,2060,1
NL,comm,2060,1
OD,comm,2060,1
PB,comm,2060,1
PC,comm,2060,1
RJ,comm,2060,1
SK,comm,2060,1
TN,comm,2060,1
TR,comm,2060,1
TS,comm,2060,1
UK,comm,2060,1
UP,comm,2060,1
WB,comm,2060,1
AN,comm,2065,1
AP,comm,2065,1
AR,comm,2065,1
AS,comm,2065,1
BR,comm,2065,1
CG,comm,2065,1
CH,comm,2065,1
DD,comm,2065,1
DL,comm,2065,1
DN,comm,2065,1
GA,comm,2065,1
GJ,comm,2065,1
HP,comm,2065,1
HR,comm,2065,1
JH,comm,2065,1
JK,comm,2065,1
KA,comm,2065,1
KL,comm,2065,1
LA,comm,2065,1
LD,comm,2065,1
MH,comm,2065,1
ML,comm,2065,1
MN,comm,2065,1
MP,comm,2065,1
MZ,comm,2065,1
NL,comm,2065,1
OD,comm,2065,1
PB,comm,2065,1
PC,comm,2065,1
RJ,comm,2065,1
SK,comm,2065,1
TN,comm,2065,1
TR,comm,2065,1
TS,comm,2065,1
UK,comm,2065,1
UP,comm,2065,1
WB,comm,2065,1
AN,comm,2070,1
AP,comm,2070,1
AR,comm,2070,1
AS,comm,2070,1
BR,comm,2070,1
CG,comm,2070,1
CH,comm,2070,1
DD,comm,2070,1
DL,comm,2070,1
DN,comm,2070,1
GA,comm,2070,1
GJ,comm,2070,1
HP,comm,2070,1
HR,comm,2070,1
JH,comm,2070,1
JK,comm,2070,1
KA,comm,2070,1
KL,comm,2070,1
LA,comm,2070,1
LD,comm,2070,1
MH,comm,2070,1
ML,comm,2070,1
MN,comm,2070,1
MP,comm,2070,1
MZ,comm,2070,1
NL,comm,2070,1
OD,comm,2070,1
PB,comm,2070,1
PC,comm,2070,1
RJ,comm,2070,1
SK,comm,2070,1
TN,comm,2070,1
TR,comm,2070,1
TS,comm,2070,1
UK,comm,2070,1
UP,comm,2070,1
WB,comm,2070,1
AN,comm,2075,1
AP,comm,2075,1
AR,comm,2075,1
AS,comm,2075,1
BR,comm,2075,1
CG,comm,2075,1
CH,comm,2075,1
DD,comm,2075,1
DL,comm,2075,1
DN,comm,2075,1
GA,comm,2075,1
GJ,comm,2075,1
HP,comm,2075,1
HR,comm,2075,1
JH,comm,2075,1
JK,comm,2075,1
KA,comm,2075,1
KL,comm,2075,1
LA,comm,2075,1
LD,comm,2075,1
MH,comm,2075,1
ML,comm,2075,1
MN,comm,2075,1
MP,comm,2075,1
MZ,comm,2075,1
NL,comm,2075,1
OD,comm,2075,1
PB,comm,2075,1
PC,comm,2075,1
RJ,comm,2075,1
SK,comm,2075,1
TN,comm,2075,1
TR,comm,2075,1
TS,comm,2075,1
UK,comm,2075,1
UP,comm,2075,1
WB,comm,2075,1
AN,comm,2080,1
AP,comm,2080,1
AR,comm,2080,1
AS,comm,2080,1
BR,comm,2080,1
CG,comm,2080,1
CH,comm,2080,1
DD,comm,2080,1
DL,comm,2080,1
DN,comm,2080,1
GA,comm,2080,1
GJ,comm,2080,1
HP,comm,2080,1
HR,comm,2080,1
JH,comm,2080,1
JK,comm,2080,1
KA,comm,2080,1
KL,comm,2080,1
LA,comm,2080,1
LD,comm,2080,1
MH,comm,2080,1
ML,comm,2080,1
MN,comm,2080,1
MP,comm,2080,1
MZ,comm,2080,1
NL,comm,2080,1
OD,comm,2080,1
PB,comm,2080,1
PC,comm,2080,1
RJ,comm,2080,1
SK,comm,2080,1
TN,comm,2080,1
TR,comm,2080,1
TS,comm,2080,1
UK,comm,2080,1
UP,comm,2080,1
WB,comm,2080,1
AN,comm,2085,1
AP,comm,2085,1
AR,comm,2085,1
AS,comm,2085,1
BR,comm,2085,1
CG,comm,2085,1
CH,comm,2085,1
DD,comm,2085,1
DL,comm,2085,1
DN,comm,2085,1
GA,comm,2085,1
GJ,comm,2085,1
HP,comm,2085,1
HR,comm,2085,1
JH,comm,2085,1
JK,comm,2085,1
KA,comm,2085,1
KL,comm,2085,1
LA,comm,2085,1
LD,comm,2085,1
MH,comm,2085,1
ML,comm,2085,1
MN,comm,2085,1
MP,comm,2085,1
MZ,comm,2085,1
NL,comm,2085,1
OD,comm,2085,1
PB,comm,2085,1
PC,comm,2085,1
RJ,comm,2085,1
SK,comm,2085,1
TN,comm,2085,1
TR,comm,2085,1
TS,comm,2085,1
UK,comm,2085,1
UP,comm,2085,1
WB,comm,2085,1
AN,comm,2090,1
AP,comm,2090,1
AR,comm,2090,1
AS,comm,2090,1
BR,comm,2090,1
CG,comm,2090,1
CH,comm,2090,1
DD,comm,2090,1
DL,comm,2090,1
DN,comm,2090,1
GA,comm,2090,1
GJ,comm,2090,1
HP,comm,2090,1
HR,comm,2090,1
JH,comm,2090,1
JK,comm,2090,1
KA,comm,2090,1
KL,comm,2090,1
LA,comm,2090,1
LD,comm,2090,1
MH,comm,2090,1
ML,comm,2090,1
MN,comm,2090,1
MP,comm,2090,1
MZ,comm,2090,1
NL,comm,2090,1
OD,comm,2090,1
PB,comm,2090,1
PC,comm,2090,1
RJ,comm,2090,1
SK,comm,2090,1
TN,comm,2090,1
TR,comm,2090,1
TS,comm,2090,1
UK,comm,2090,1
UP,comm,2090,1
WB,comm,2090,1
AN,comm,2095,1
AP,comm,2095,1
AR,comm,2095,1
AS,comm,2095,1
BR,comm,2095,1
CG,comm,2095,1
CH,comm,2095,1
DD,comm,2095,1
DL,comm,2095,1
DN,comm,2095,1
GA,comm,2095,1
GJ,comm,2095,1
HP,comm,2095,1
HR,comm,2095,1
JH,comm,2095,1
JK,comm,2095,1
KA,comm,2095,1
KL,comm,2095,1
LA,comm,2095,1
LD,comm,2095,1
MH,comm,2095,1
ML,comm,2095,1
MN,comm,2095,1
MP,comm,2095,1
MZ,comm,2095,1
NL,comm,2095,1
OD,comm,2095,1
PB,comm,2095,1
PC,comm,2095,1
RJ,comm,2095,1
SK,comm,2095,1
TN,comm,2095,1
TR,comm,2095,1
TS,comm,2095,1
UK,comm,2095,1
UP,comm,2095,1
WB,comm,2095,1
AN,comm,2100,1
AP,comm,2100,1
AR,comm,2100,1
AS,comm,2100,1
BR,comm,2100,1
CG,comm,2100,1
CH,comm,2100,1
DD,comm,2100,1
DL,comm,2100,1
DN,comm,2100,1
GA,comm,2100,1
GJ,comm,2100,1
HP,comm,2100,1
HR,comm,2100,1
JH,comm,2100,1
JK,comm,2100,1
KA,comm,2100,1
KL,comm,2100,1
LA,comm,2100,1
LD,comm,2100,1
MH,comm,2100,1
ML,comm,2100,1
MN,comm,2100,1
MP,comm,2100,1
MZ,comm,2100,1
NL,comm,2100,1
OD,comm,2100,1
PB,comm,2100,1
PC,comm,2100,1
RJ,comm,2100,1
SK,comm,2100,1
TN,comm,2100,1
TR,comm,2100,1
TS,comm,2100,1
UK,comm,2100,1
UP,comm,2100,1
WB,comm,2100,1
AN,resid rural,1975,0.643280423
AP,resid rural,1975,0.703100099
AR,resid rural,1975,0.773290037
AS,resid rural,1975,0.859200026
BR,resid rural,1975,0.886999578
CG,resid rural,1975,0.767560022
CH,resid rural,1975,0.0275
DD,resid rural,1975,0.248371795
DL,resid rural,1975,0.025027283
DN,resid rural,1975,0.533831325
GA,resid rural,1975,0.378270028
GJ,resid rural,1975,0.574180583
HP,resid rural,1975,0.899549956
HR,resid rural,1975,0.65205014
JH,resid rural,1975,0.759470109
JK,resid rural,1975,0.728690268
KA,resid rural,1975,0.61430041
KL,resid rural,1975,0.522809023
LA,resid rural,1975,0.657859851
LD,resid rural,1975,0.219170313
MH,resid rural,1975,0.547690031
ML,resid rural,1975,0.799249828
MN,resid rural,1975,0.69794
MP,resid rural,1975,0.723700612
MZ,resid rural,1975,0.484899628
NL,resid rural,1975,0.710320202
OD,resid rural,1975,0.833219963
PB,resid rural,1975,0.62506112
PC,resid rural,1975,0.316879607
RJ,resid rural,1975,0.751089926
SK,resid rural,1975,0.750319536
TN,resid rural,1975,0.51551993
TR,resid rural,1975,0.738230006
TS,resid rural,1975,0.611219743
UK,resid rural,1975,0.694449929
UP,resid rural,1975,0.77718006
WB,resid rural,1975,0.681060488
AN,resid rural,1990,0.643280423
AP,resid rural,1990,0.703100099
AR,resid rural,1990,0.773290037
AS,resid rural,1990,0.859200026
BR,resid rural,1990,0.886999578
CG,resid rural,1990,0.767560022
CH,resid rural,1990,0.0275
DD,resid rural,1990,0.248371795
DL,resid rural,1990,0.025027283
DN,resid rural,1990,0.533831325
GA,resid rural,1990,0.378270028
GJ,resid rural,1990,0.574180583
HP,resid rural,1990,0.899549956
HR,resid rural,1990,0.65205014
JH,resid rural,1990,0.759470109
JK,resid rural,1990,0.728690268
KA,resid rural,1990,0.61430041
KL,resid rural,1990,0.522809023
LA,resid rural,1990,0.657859851
LD,resid rural,1990,0.219170313
MH,resid rural,1990,0.547690031
ML,resid rural,1990,0.799249828
MN,resid rural,1990,0.69794
MP,resid rural,1990,0.723700612
MZ,resid rural,1990,0.484899628
NL,resid rural,1990,0.710320202
OD,resid rural,1990,0.833219963
PB,resid rural,1990,0.62506112
PC,resid rural,1990,0.316879607
RJ,resid rural,1990,0.751089926
SK,resid rural,1990,0.750319536
TN,resid rural,1990,0.51551993
TR,resid rural,1990,0.738230006
TS,resid rural,1990,0.611219743
UK,resid rural,1990,0.694449929
UP,resid rural,1990,0.77718006
WB,resid rural,1990,0.681060488
AN,resid rural,2005,0.643280423
AP,resid rural,2005,0.703100099
AR,resid rural,2005,0.773290037
AS,resid rural,2005,0.859200026
BR,resid rural,2005,0.886999578
CG,resid rural,2005,0.767560022
CH,resid rural,2005,0.0275
DD,resid rural,2005,0.248371795
DL,resid rural,2005,0.025027283
DN,resid rural,2005,0.533831325
GA,resid rural,2005,0.378270028
GJ,resid rural,2005,0.574180583
HP,resid rural,2005,0.899549956
HR,resid rural,2005,0.65205014
JH,resid rural,2005,0.759470109
JK,resid rural,2005,0.728690268
KA,resid rural,2005,0.61430041
KL,resid rural,2005,0.522809023
LA,resid rural,2005,0.657859851
LD,resid rural,2005,0.219170313
MH,resid rural,2005,0.547690031
ML,resid rural,2005,0.799249828
MN,resid rural,2005,0.69794
MP,resid rural,2005,0.723700612
MZ,resid rural,2005,0.484899628
NL,resid rural,2005,0.710320202
OD,resid rural,2005,0.833219963
PB,resid rural,2005,0.62506112
PC,resid rural,2005,0.316879607
RJ,resid rural,2005,0.751089926
SK,resid rural,2005,0.750319536
TN,resid rural,2005,0.51551993
TR,resid rural,2005,0.738230006
TS,resid rural,2005,0.611219743
UK,resid rural,2005,0.694449929
UP,resid rural,2005,0.77718006
WB,resid rural,2005,0.681060488
AN,resid rural,2010,0.643280423
AP,resid rural,2010,0.703100099
AR,resid rural,2010,0.773290037
AS,resid rural,2010,0.859200026
BR,resid rural,2010,0.886999578
CG,resid rural,2010,0.767560022
CH,resid rural,2010,0.0275
DD,resid rural,2010,0.248371795
DL,resid rural,2010,0.025027283
DN,resid rural,2010,0.533831325
GA,resid rural,2010,0.378270028
GJ,resid rural,2010,0.574180583
HP,resid rural,2010,0.899549956
HR,resid rural,2010,0.65205014
JH,resid rural,2010,0.759470109
JK,resid rural,2010,0.728690268
KA,resid rural,2010,0.61430041
KL,resid rural,2010,0.522809023
LA,resid rural,2010,0.657859851
LD,resid rural,2010,0.219170313
MH,resid rural,2010,0.547690031
ML,resid rural,2010,0.799249828
MN,resid rural,2010,0.69794
MP,resid rural,2010,0.723700612
MZ,resid rural,2010,0.484899628
NL,resid rural,2010,0.710320202
OD,resid rural,2010,0.833219963
PB,resid rural,2010,0.62506112
PC,resid rural,2010,0.316879607
RJ,resid rural,2010,0.751089926
SK,resid rural,2010,0.750319536
TN,resid rural,2010,0.51551993
TR,resid rural,2010,0.738230006
TS,resid rural,2010,0.611219743
UK,resid rural,2010,0.694449929
UP,resid rural,2010,0.77718006
WB,resid rural,2010,0.681060488
AN,resid rural,2015,0.632259169
AP,resid rural,2015,0.679379739
AR,resid rural,2015,0.758739973
AS,resid rural,2015,0.848569907
BR,resid rural,2015,0.883829945
CG,resid rural,2015,0.754239932
CH,resid rural,2015,0.026943745
DD,resid rural,2015,0.231780069
DL,resid rural,2015,0.023159304
DN,resid rural,2015,0.502449383
GA,resid rural,2015,0.348849386
GJ,resid rural,2015,0.550540201
HP,resid rural,2015,0.892409951
HR,resid rural,2015,0.631221219
JH,resid rural,2015,0.73710014
JK,resid rural,2015,0.712950171
KA,resid rural,2015,0.591719775
KL,resid rural,2015,0.484148843
LA,resid rural,2015,0.64544898
LD,resid rural,2015,0.21096
MH,resid rural,2015,0.521040305
ML,resid rural,2015,0.794080102
MN,resid rural,2015,0.671160164
MP,resid rural,2015,0.710080112
MZ,resid rural,2015,0.457569778
NL,resid rural,2015,0.689250122
OD,resid rural,2015,0.819200018
PB,resid rural,2015,0.604130232
PC,resid rural,2015,0.29641979
RJ,resid rural,2015,0.738260037
SK,resid rural,2015,0.75730031
TN,resid rural,2015,0.492439384
TR,resid rural,2015,0.711551042
TS,resid rural,2015,0.594080424
UK,resid rural,2015,0.673060458
UP,resid rural,2015,0.767699881
WB,resid rural,2015,0.658819906
AN,resid rural,2020,0.617650716
AP,resid rural,2020,0.645182633
AR,resid rural,2020,0.739919977
AS,resid rural,2020,0.828774206
BR,resid rural,2020,0.858997096
CG,resid rural,2020,0.73649137
CH,resid rural,2020,0.026380674
DD,resid rural,2020,0.21366863
DL,resid rural,2020,0.021279616
DN,resid rural,2020,0.461385185
GA,resid rural,2020,0.313299474
GJ,resid rural,2020,0.521034472
HP,resid rural,2020,0.864922815
HR,resid rural,2020,0.603903902
JH,resid rural,2020,0.704657324
JK,resid rural,2020,0.691100147
KA,resid rural,2020,0.563188401
KL,resid rural,2020,0.430699088
LA,resid rural,2020,0.631099125
LD,resid rural,2020,0.202394286
MH,resid rural,2020,0.487320682
ML,resid rural,2020,0.782068659
MN,resid rural,2020,0.632994519
MP,resid rural,2020,0.693497239
MZ,resid rural,2020,0.423774095
NL,resid rural,2020,0.661071415
OD,resid rural,2020,0.795028587
PB,resid rural,2020,0.576397342
PC,resid rural,2020,0.273360196
RJ,resid rural,2020,0.721365746
SK,resid rural,2020,0.751971694
TN,resid rural,2020,0.464519412
TR,resid rural,2020,0.669900893
TS,resid rural,2020,0.572068935
UK,resid rural,2020,0.64262325
UP,resid rural,2020,0.746599898
WB,resid rural,2020,0.62755992
AN,resid rural,2025,0.603042263
AP,resid rural,2025,0.610985528
AR,resid rural,2025,0.721099981
AS,resid rural,2025,0.808978505
BR,resid rural,2025,0.834164246
CG,resid rural,2025,0.718742808
CH,resid rural,2025,0.025817603
DD,resid rural,2025,0.195557192
DL,resid rural,2025,0.019399928
DN,resid rural,2025,0.420320988
GA,resid rural,2025,0.277749561
GJ,resid rural,2025,0.491528742
HP,resid rural,2025,0.837435679
HR,resid rural,2025,0.576586585
JH,resid rural,2025,0.672214508
JK,resid rural,2025,0.669250122
KA,resid rural,2025,0.534657027
KL,resid rural,2025,0.377249333
LA,resid rural,2025,0.616749271
LD,resid rural,2025,0.193828571
MH,resid rural,2025,0.45360106
ML,resid rural,2025,0.770057216
MN,resid rural,2025,0.594828873
MP,resid rural,2025,0.676914366
MZ,resid rural,2025,0.389978413
NL,resid rural,2025,0.632892709
OD,resid rural,2025,0.770857156
PB,resid rural,2025,0.548664451
PC,resid rural,2025,0.250300602
RJ,resid rural,2025,0.704471455
SK,resid rural,2025,0.746643078
TN,resid rural,2025,0.43659944
TR,resid rural,2025,0.628250744
TS,resid rural,2025,0.550057446
UK,resid rural,2025,0.612186042
UP,resid rural,2025,0.725499915
WB,resid rural,2025,0.596299933
AN,resid rural,2030,0.588433811
AP,resid rural,2030,0.576788422
AR,resid rural,2030,0.702279985
AS,resid rural,2030,0.789182804
BR,resid rural,2030,0.809331397
CG,resid rural,2030,0.700994247
CH,resid rural,2030,0.025254532
DD,resid rural,2030,0.177445754
DL,resid rural,2030,0.01752024
DN,resid rural,2030,0.37925679
GA,resid rural,2030,0.242199649
GJ,resid rural,2030,0.462023013
HP,resid rural,2030,0.809948543
HR,resid rural,2030,0.549269268
JH,resid rural,2030,0.639771691
JK,resid rural,2030,0.647400098
KA,resid rural,2030,0.506125653
KL,resid rural,2030,0.323799578
LA,resid rural,2030,0.602399417
LD,resid rural,2030,0.185262857
MH,resid rural,2030,0.419881437
ML,resid rural,2030,0.758045772
